DATE,shift start time,shift end time,first sunrise,first sunset,second_sunrise,Darkness (minutes),% of Shift
2022-04-26,15:30:00,23:30:00,09:24:43,19:37:55,,232.1,48.4
2022-04-26,23:30:00,07:30:00,09:25:47,19:36:35,2022-04-27 09:25:47,480,100
2022-04-27,07:30:00,15:30:00,09:25:47,19:36:35,,115.8,24.1
2022-04-27,15:30:00,23:30:00,09:25:47,19:36:35,,233.4,48.6
2022-04-27,23:30:00,07:30:00,09:26:51,19:35:15,2022-04-28 09:26:51,480,100
2022-04-28,07:30:00,15:30:00,09:26:51,19:35:15,,116.9,24.4
2022-04-28,15:30:00,23:30:00,09:26:51,19:35:15,,234.8,48.9
2022-04-28,23:30:00,07:30:00,09:27:54,19:33:57,2022-04-29 09:27:54,480,100
2022-04-29,07:30:00,15:30:00,09:27:54,19:33:57,,117.9,24.6
2022-04-29,15:30:00,23:30:00,09:27:54,19:33:57,,236.1,49.2
2022-04-29,23:30:00,07:30:00,09:28:58,19:32:40,2022-04-30 09:28:58,480,100
2022-04-30,07:30:00,15:30:00,09:28:58,19:32:40,,119.0,24.8
2022-04-30,15:30:00,23:30:00,09:28:58,19:32:40,,237.3,49.4
2022-04-30,23:30:00,07:30:00,09:30:01,19:31:24,2022-05-01 09:30:01,480,100
2022-05-01,07:30:00,15:30:00,09:30:01,19:31:24,,120.0,25.0
2022-05-01,15:30:00,23:30:00,09:30:01,19:31:24,,238.6,49.7
2022-05-01,23:30:00,07:30:00,09:31:05,19:30:09,2022-05-02 09:31:05,480,100
2022-05-02,07:30:00,15:30:00,09:31:05,19:30:09,,121.1,25.2
2022-05-02,15:30:00,23:30:00,09:31:05,19:30:09,,239.9,50.0
2022-05-02,23:30:00,07:30:00,09:32:08,19:28:56,2022-05-03 09:32:08,480,100
2022-05-03,07:30:00,15:30:00,09:32:08,19:28:56,,122.1,25.4
2022-05-03,15:30:00,23:30:00,09:32:08,19:28:56,,241.1,50.2
2022-05-03,23:30:00,07:30:00,09:33:11,19:27:44,2022-05-04 09:33:11,480,100
2022-05-04,07:30:00,15:30:00,09:33:11,19:27:44,,123.2,25.7
2022-05-04,15:30:00,23:30:00,09:33:11,19:27:44,,242.3,50.5
2022-05-04,23:30:00,07:30:00,09:34:14,19:26:33,2022-05-05 09:34:14,480,100
2022-05-05,07:30:00,15:30:00,09:34:14,19:26:33,,124.2,25.9
2022-05-05,15:30:00,23:30:00,09:34:14,19:26:33,,243.5,50.7
2022-05-05,23:30:00,07:30:00,09:35:16,19:25:23,2022-05-06 09:35:16,480,100
2022-05-06,07:30:00,15:30:00,09:35:16,19:25:23,,125.3,26.1
2022-05-06,15:30:00,23:30:00,09:35:16,19:25:23,,244.6,51.0
2022-05-06,23:30:00,07:30:00,09:36:18,19:24:15,2022-05-07 09:36:18,480,100
2022-05-07,07:30:00,15:30:00,09:36:18,19:24:15,,126.3,26.3
2022-05-07,15:30:00,23:30:00,09:36:18,19:24:15,,245.8,51.2
2022-05-07,23:30:00,07:30:00,09:37:21,19:23:08,2022-05-08 09:37:21,480,100
2022-05-08,07:30:00,15:30:00,09:37:21,19:23:08,,127.4,26.5
2022-05-08,15:30:00,23:30:00,09:37:21,19:23:08,,246.9,51.4
2022-05-08,23:30:00,07:30:00,09:38:22,19:22:03,2022-05-09 09:38:22,480,100
2022-05-09,07:30:00,15:30:00,09:38:22,19:22:03,,128.4,26.8
2022-05-09,15:30:00,23:30:00,09:38:22,19:22:03,,248.0,51.7
2022-05-09,23:30:00,07:30:00,09:39:24,19:20:59,2022-05-10 09:39:24,480,100
2022-05-10,07:30:00,15:30:00,09:39:24,19:20:59,,129.4,27.0
2022-05-10,15:30:00,23:30:00,09:39:24,19:20:59,,249.0,51.9
2022-05-10,23:30:00,07:30:00,09:40:25,19:19:57,2022-05-11 09:40:25,480,100
2022-05-11,07:30:00,15:30:00,09:40:25,19:19:57,,130.4,27.2
2022-05-11,15:30:00,23:30:00,09:40:25,19:19:57,,250.1,52.1
2022-05-11,23:30:00,07:30:00,09:41:25,19:18:56,2022-05-12 09:41:25,480,100
2022-05-12,07:30:00,15:30:00,09:41:25,19:18:56,,131.4,27.4
2022-05-12,15:30:00,23:30:00,09:41:25,19:18:56,,251.1,52.3
2022-05-12,23:30:00,07:30:00,09:42:26,19:17:57,2022-05-13 09:42:26,480,100
2022-05-13,07:30:00,15:30:00,09:42:26,19:17:57,,132.4,27.6
2022-05-13,15:30:00,23:30:00,09:42:26,19:17:57,,252.1,52.5
2022-05-13,23:30:00,07:30:00,09:43:25,19:16:59,2022-05-14 09:43:25,480,100
2022-05-14,07:30:00,15:30:00,09:43:25,19:16:59,,133.4,27.8
2022-05-14,15:30:00,23:30:00,09:43:25,19:16:59,,253.0,52.7
2022-05-14,23:30:00,07:30:00,09:44:25,19:16:03,2022-05-15 09:44:25,480,100
2022-05-15,07:30:00,15:30:00,09:44:25,19:16:03,,134.4,28.0
2022-05-15,15:30:00,23:30:00,09:44:25,19:16:03,,254.0,52.9
2022-05-15,23:30:00,07:30:00,09:45:23,19:15:08,2022-05-16 09:45:23,480,100
